essay_id,essay_set,trait,score,rater
2978,2,content,3,human1
2978,2,conventions,3,human1
2978,2,organization,3,human1
2978,2,sentence_fluency,3,human1
2978,2,word_choice,3,human1
2979,2,content,1,human1
2979,2,conventions,1,human1
2979,2,organization,1,human1
2979,2,sentence_fluency,1,human1
2979,2,word_choice,1,human1
2980,2,content,1,human1
2980,2,conventions,4,human1
2980,2,organization,1,human1
2980,2,sentence_fluency,2,human1
2980,2,word_choice,1,human1
2981,2,content,4,human1
2981,2,conventions,4,human1
2981,2,organization,3,human1
2981,2,sentence_fluency,3,human1
2981,2,word_choice,3,human1
2982,2,content,4,human1
2982,2,conventions,3,human1
2982,2,organization,4,human1
2982,2,sentence_fluency,4,human1
2982,2,word_choice,4,human1
2983,2,content,4,human1
2983,2,conventions,4,human1
2983,2,organization,4,human1
2983,2,sentence_fluency,4,human1
2983,2,word_choice,4,human1
2984,2,content,5,human1
2984,2,conventions,4,human1
2984,2,organization,4,human1
2984,2,sentence_fluency,4,human1
2984,2,word_choice,5,human1
2985,2,content,3,human1
2985,2,conventions,2,human1
2985,2,organization,2,human1
2985,2,sentence_fluency,1,human1
2985,2,word_choice,1,human1
2986,2,content,5,human1
2986,2,conventions,5,human1
2986,2,organization,5,human1
2986,2,sentence_fluency,4,human1
2986,2,word_choice,4,human1
2987,2,content,5,human1
2987,2,conventions,5,human1
2987,2,organization,5,human1
2987,2,sentence_fluency,5,human1
2987,2,word_choice,5,human1
2988,2,content,3,human1
2988,2,conventions,3,human1
2988,2,organization,3,human1
2988,2,sentence_fluency,2,human1
2988,2,word_choice,3,human1
2989,2,content,4,human1
2989,2,conventions,4,human1
2989,2,organization,4,human1
2989,2,sentence_fluency,4,human1
2989,2,word_choice,3,human1
2990,2,content,6,human1
2990,2,conventions,5,human1
2990,2,organization,5,human1
2990,2,sentence_fluency,5,human1
2990,2,word_choice,6,human1
2991,2,content,4,human1
2991,2,conventions,3,human1
2991,2,organization,3,human1
2991,2,sentence_fluency,2,human1
2991,2,word_choice,3,human1
2992,2,content,1,human1
2992,2,conventions,1,human1
2992,2,organization,2,human1
2992,2,sentence_fluency,2,human1
2992,2,word_choice,1,human1
2993,2,content,2,human1
2993,2,conventions,2,human1
2993,2,organization,2,human1
2993,2,sentence_fluency,2,human1
2993,2,word_choice,2,human1
2994,2,content,3,human1
2994,2,conventions,3,human1
2994,2,organization,3,human1
2994,2,sentence_fluency,3,human1
2994,2,word_choice,3,human1
2995,2,content,2,human1
2995,2,conventions,3,human1
2995,2,organization,2,human1
2995,2,sentence_fluency,3,human1
2995,2,word_choice,2,human1
2996,2,content,1,human1
2996,2,conventions,1,human1
2996,2,organization,1,human1
2996,2,sentence_fluency,1,human1
2996,2,word_choice,1,human1
2997,2,content,4,human1
2997,2,conventions,4,human1
2997,2,organization,4,human1
