essay_id,essay_set,trait,score,rater
17834,7,content,1,human1
17834,7,conventions,3,human1
17834,7,organization,2,human1
17834,7,style,2,human1
17836,7,content,1,human1
17836,7,conventions,2,human1
17836,7,organization,1,human1
17836,7,style,2,human1
17837,7,content,1,human1
17837,7,conventions,2,human1
17837,7,organization,2,human1
17837,7,style,2,human1
17838,7,content,2,human1
17838,7,conventions,2,human1
17838,7,organization,2,human1
17838,7,style,2,human1
17839,7,content,1,human1
17839,7,conventions,2,human1
17839,7,organization,2,human1
17839,7,style,2,human1
17840,7,content,2,human1
17840,7,conventions,3,human1
17840,7,organization,3,human1
17840,7,style,3,human1
17841,7,content,2,human1
17841,7,conventions,2,human1
17841,7,organization,2,human1
17841,7,style,2,human1
17842,7,content,2,human1
17842,7,conventions,3,human1
17842,7,organization,2,human1
17842,7,style,2,human1
17843,7,content,2,human1
17843,7,conventions,2,human1
17843,7,organization,2,human1
17843,7,style,2,human1
17844,7,content,0,human1
17844,7,conventions,2,human1
17844,7,organization,1,human1
17844,7,style,1,human1
17845,7,content,2,human1
17845,7,conventions,2,human1
17845,7,organization,2,human1
17845,7,style,2,human1
17846,7,content,2,human1
17846,7,conventions,2,human1
17846,7,organization,2,human1
17846,7,style,3,human1
17847,7,content,2,human1
17847,7,conventions,3,human1
17847,7,organization,2,human1
17847,7,style,2,human1
17849,7,content,1,human1
17849,7,conventions,1,human1
17849,7,organization,2,human1
17849,7,style,2,human1
17850,7,content,2,human1
17850,7,conventions,1,human1
17850,7,organization,1,human1
17850,7,style,1,human1
17851,7,content,2,human1
17851,7,conventions,2,human1
17851,7,organization,2,human1
17851,7,style,2,human1
17852,7,content,2,human1
17852,7,conventions,2,human1
17852,7,organization,3,human1
17852,7,style,2,human1
17853,7,content,2,human1
17853,7,conventions,2,human1
17853,7,organization,2,human1
17853,7,style,2,human1
17854,7,content,2,human1
17854,7,conventions,3,human1
17854,7,organization,3,human1
17854,7,style,2,human1
17856,7,content,1,human1
17856,7,conventions,2,human1
17856,7,organization,1,human1
17856,7,style,2,human1
17857,7,content,2,human1
17857,7,conventions,3,human1
17857,7,organization,2,human1
17857,7,style,2,human1
17858,7,content,3,human1
17858,7,conventions,3,human1
17858,7,organization,3,human1
17858,7,style,3,human1
17859,7,content,2,human1
17859,7,conventions,3,human1
17859,7,organization,2,human1
17859,7,style,2,human1
17860,7,content,2,human1
17860,7,conventions,2,human1
17860,7,organization,2,human1
17860,7,style,2,human1
17861,7,content,2,human1
17861,7,conventions,2,human1
17861,7,organization,2,human1
17861,7,style,2,human1
17862,7,content,1,human1
17862,7,conventions,2,human1
17862,7,organization,1,human1
17862,7,style,1,human1
17863,7,content,0,human1
17863,7,conventions,1,human1
17863,7,organization,1,human1
17863,7,style,1,human1
17864,7,content,2,human1
