set,trait,ranking
1,content,claude(1.0495) > gemini(1.0178) > gpt(0.9954)
1,conventions,gemini(1.1243) > claude(1.0549) > gpt(0.9493)
1,organization,claude(1.0883) > gpt(1.0564) > gemini(0.9942)
1,sentence fluency,claude(1.0879) > gemini(1.0412) > gpt(0.985)
1,word choice,gemini(1.0818) > claude(1.0574) > gpt(0.9624)
2,content,gemini(1.1092) > claude(1.0564) > gpt(0.9528)
2,conventions,gemini(1.1734) > claude(1.0743) > gpt(0.8818)
2,organization,claude(1.0956) > gemini(1.0676) > gpt(0.9342)
2,sentence fluency,gemini(1.0972) > claude(1.0695) > gpt(0.9292)
2,word choice,gemini(1.1262) > claude(1.0663) > gpt(0.9084)
3,content,claude(1.095) > gemini(0.9782) > gpt(0.9592)
3,language,claude(1.188) > gemini(1.0306) > gpt(0.8526)
3,narrativity,claude(1.1249) > gemini(1.0955) > gpt(0.8061)
3,prompt adherence,claude(1.0872) > gpt(0.964) > gemini(0.9308)
4,content,gemini(1.0681) > claude(1.0324) > gpt(0.9589)
4,language,claude(1.1507) > gemini(1.1235) > gpt(0.8592)
4,narrativity,gemini(1.1389) > claude(1.053) > gpt(0.8836)
4,prompt adherence,claude(1.0615) > gpt(0.969) > gemini(0.9648)
5,content,gemini(1.0906) > claude(1.0135) > gpt(0.9245)
5,language,claude(1.1094) > gemini(1.1065) > gpt(0.8604)
5,narrativity,gemini(1.0855) > claude(1.0432) > gpt(0.9115)
5,prompt adherence,gemini(1.0869) > claude(0.9893) > gpt(0.9361)
6,content,claude(1.0756) > gpt(1.011) > gemini(0.8829)
6,language,claude(1.1173) > gemini(0.9783) > gpt(0.9673)
6,narrativity,claude(1.0702) > gpt(0.9913) > gemini(0.9823)
6,prompt adherence,claude(1.0392) > gpt(1.0181) > gemini(0.8979)
7,conventions,gemini(1.1446) > claude(1.0914) > gpt(0.8994)
7,ideas,gemini(1.1179) > claude(1.0127) > gpt(0.938)
7,organization,gemini(1.0524) > claude(1.0451) > gpt(0.9947)
7,style,claude(1.1066) > gemini(1.0295) > gpt(0.9589)
8,conventions,gemini(1.0797) > claude(1.0323) > gpt(1.0153)
8,ideas,gemini(1.1409) > gpt(1.0005) > claude(0.9652)
8,organization,gemini(1.061) > claude(1.0358) > gpt(1.01)
8,sentence fluency,claude(1.0596) > gemini(1.025) > gpt(1.02)
8,voice,gemini(1.0687) > gpt(1.0316) > claude(0.9145)
8,word choice,gemini(1.0745) > claude(1.0249) > gpt(0.996)
