rater,set,trait,severity,infit_msq,outfit_msq,n_observation,severity_se
claude,6,content,0.072837,1.712984,1.487656,1800,0.043399
claude,5,content,0.013452,1.340582,1.196407,1805,0.034552
claude,4,content,0.031864,0.713816,0.694553,1772,0.029197
claude,1,content,0.048283,1.367117,1.157444,1783,0.023133
claude,3,content,0.090716,0.763790,0.710858,1725,0.030526
claude,2,content,0.054890,1.229518,1.062989,1799,0.048502
claude,8,conventions,0.031768,0.559953,0.569030,723,0.043200
claude,7,conventions,0.087437,0.418452,0.395703,1569,0.064982
claude,1,conventions,0.053482,0.369508,0.371857,1783,0.052741
claude,2,conventions,0.071654,0.419687,0.403258,1799,0.069361
claude,8,ideas,-0.035452,2.062301,1.778824,723,0.048310
claude,7,ideas,0.012593,0.917087,0.852740,1569,0.041123
claude,6,language,0.110911,1.203678,0.995511,1800,0.037632
claude,5,language,0.103828,0.820022,0.757033,1805,0.062331
claude,4,language,0.140370,0.467479,0.454150,1772,0.074913
claude,3,language,0.172256,0.349093,0.338316,1725,0.069432
claude,6,narrativity,0.067803,1.074349,0.944248,1800,0.023608
claude,5,narrativity,0.042295,0.812050,0.795029,1805,0.038840
claude,4,narrativity,0.051621,0.607821,0.585798,1772,0.056450
claude,3,narrativity,0.117651,0.507310,0.487745,1725,0.075634
claude,8,organization,0.035221,1.417618,1.173372,723,0.036200
claude,7,organization,0.044066,0.766114,0.721637,1569,0.032450
claude,1,organization,0.084643,1.285850,1.069951,1783,0.048370
claude,2,organization,0.091314,1.076438,0.889634,1799,0.045756
claude,6,prompt adherence,0.038416,2.100836,1.800305,1800,0.036573
claude,5,prompt adherence,-0.010721,1.582385,1.427887,1805,0.030908
claude,4,prompt adherence,0.059682,1.068083,0.997285,1772,0.022165
claude,3,prompt adherence,0.083565,1.087460,1.028093,1725,0.034262
claude,8,sentence fluency,0.057847,0.914696,0.801031,723,0.035144
claude,1,sentence fluency,0.084236,0.680296,0.606432,1783,0.041793
claude,2,sentence fluency,0.067233,0.616859,0.566032,1799,0.046555
claude,7,style,0.101309,0.528827,0.504526,1569,0.041511
claude,8,voice,-0.089422,2.755572,2.335302,723,0.033478
claude,8,word choice,0.024592,1.186118,1.050350,723,0.034555
claude,1,word choice,0.055820,0.870955,0.764150,1783,0.040815
claude,2,word choice,0.064178,0.766613,0.692445,1799,0.054038
gemini,6,content,-0.124546,2.583218,2.277472,1800,0.043399
gemini,5,content,0.086691,1.293809,1.137831,1805,0.034552
gemini,4,content,0.065890,1.049072,1.015527,1772,0.029197
gemini,1,content,0.017663,1.350711,1.143690,1783,0.023133
gemini,3,content,-0.021996,1.723938,1.635810,1725,0.030526
gemini,2,content,0.103632,0.939873,0.812871,1799,0.048502
gemini,8,conventions,0.076680,0.619860,0.620203,723,0.043200
gemini,7,conventions,0.135018,0.463925,0.456866,1569,0.064982
gemini,1,conventions,0.117201,0.354865,0.359662,1783,0.052741
gemini,2,conventions,0.159938,0.441753,0.413753,1799,0.069361
gemini,8,ideas,0.131787,1.203617,1.016730,723,0.048310
gemini,7,ideas,0.111487,0.863388,0.836468,1569,0.041123
gemini,6,language,-0.021921,1.579752,1.349074,1800,0.037632
gemini,5,language,0.101218,0.910834,0.841325,1805,0.062331
gemini,4,language,0.116485,0.686945,0.665248,1772,0.074913
gemini,3,language,0.030130,0.827516,0.811740,1725,0.069432
gemini,6,narrativity,-0.017859,1.247607,1.140051,1800,0.023608
gemini,5,narrativity,0.082022,0.764652,0.747760,1805,0.038840
gemini,4,narrativity,0.130031,0.526887,0.502300,1772,0.056450
gemini,3,narrativity,0.091218,0.643382,0.621596,1725,0.075634
gemini,8,organization,0.059165,1.412449,1.154316,723,0.036200
gemini,7,organization,0.051033,1.102467,1.017628,1569,0.032450
gemini,1,organization,-0.005861,1.351811,1.165090,1783,0.048370
gemini,2,organization,0.065453,1.163388,0.965707,1799,0.045756
gemini,6,prompt adherence,-0.107747,2.684335,2.320442,1800,0.036573
gemini,5,prompt adherence,0.083318,1.469695,1.290895,1805,0.030908
gemini,4,prompt adherence,-0.035816,1.640165,1.569557,1772,0.022165
gemini,3,prompt adherence,-0.071737,1.946288,1.868130,1725,0.034262
gemini,8,sentence fluency,0.024680,1.046005,0.916433,723,0.035144
gemini,1,sentence fluency,0.040408,0.785637,0.705779,1783,0.041793
gemini,2,sentence fluency,0.092758,0.633994,0.588722,1799,0.046555
gemini,7,style,0.029035,0.716047,0.695702,1569,0.041511
gemini,8,voice,0.066482,1.741210,1.440104,723,0.033478
gemini,8,word choice,0.071828,0.902151,0.808494,723,0.034555
gemini,1,word choice,0.078586,0.811517,0.735921,1783,0.040815
gemini,2,word choice,0.118865,0.664689,0.594744,1799,0.054038
gpt,6,content,0.010894,1.930403,1.701302,1800,0.043399
gpt,5,content,-0.078495,1.926860,1.723395,1805,0.034552
gpt,4,content,-0.041986,0.882436,0.852635,1772,0.029197
gpt,1,content,-0.004655,1.423249,1.195559,1783,0.023133
gpt,3,content,-0.041683,1.253552,1.183115,1725,0.030526
gpt,2,content,-0.048341,1.326944,1.139942,1799,0.048502
gpt,8,conventions,0.015152,0.717817,0.712606,723,0.043200
gpt,7,conventions,-0.106023,0.680349,0.643884,1569,0.064982
gpt,1,conventions,-0.052047,0.560345,0.556144,1783,0.052741
gpt,2,conventions,-0.125770,0.796298,0.756848,1799,0.069361
gpt,8,ideas,0.000522,1.551960,1.341776,723,0.048310
gpt,7,ideas,-0.063961,0.949472,0.879322,1569,0.041123
gpt,6,language,-0.033253,1.588913,1.331601,1800,0.037632
gpt,5,language,-0.150349,1.503286,1.394139,1805,0.062331
gpt,4,language,-0.151711,1.094500,1.068714,1772,0.074913
gpt,3,language,-0.159457,1.066620,1.049294,1725,0.069432
gpt,6,narrativity,-0.008780,1.524671,1.409593,1800,0.023608
gpt,5,narrativity,-0.092642,1.301338,1.268187,1805,0.038840
gpt,4,narrativity,-0.123747,1.042678,1.018627,1772,0.056450
gpt,3,narrativity,-0.215496,1.334586,1.299565,1725,0.075634
gpt,8,organization,0.009944,1.640916,1.326564,723,0.036200
gpt,7,organization,-0.005311,0.812081,0.762287,1569,0.032450
gpt,1,organization,0.054881,1.396283,1.185052,1783,0.048370
gpt,2,organization,-0.068052,1.463135,1.225391,1799,0.045756
gpt,6,prompt adherence,0.017891,2.066910,1.759257,1800,0.036573
gpt,5,prompt adherence,-0.066063,1.878564,1.683569,1805,0.030908
gpt,4,prompt adherence,-0.031503,1.139946,1.057414,1772,0.022165
gpt,3,prompt adherence,-0.036631,1.281175,1.210920,1725,0.034262
gpt,8,sentence fluency,0.019812,1.093126,0.961231,723,0.035144
gpt,1,sentence fluency,-0.015081,0.836031,0.752364,1783,0.041793
gpt,2,sentence fluency,-0.073436,0.908398,0.855768,1799,0.046555
gpt,7,style,-0.041967,0.754851,0.726496,1569,0.041511
gpt,8,voice,0.031093,1.735140,1.438831,723,0.033478
gpt,8,word choice,-0.003961,1.277084,1.132207,723,0.034555
gpt,1,word choice,-0.038343,1.035875,0.913682,1783,0.040815
gpt,2,word choice,-0.096038,1.139619,1.021221,1799,0.054038
llama,6,content,0.040815,1.651768,1.422277,1800,0.043399
llama,5,content,-0.021648,1.270146,1.120966,1805,0.034552
llama,4,content,-0.055768,0.931484,0.896693,1772,0.029197
llama,1,content,-0.061291,1.769043,1.519789,1783,0.023133
llama,3,content,-0.027037,1.006857,0.934944,1725,0.030526
llama,2,content,-0.110182,1.779938,1.594968,1799,0.048502
